1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,11
52,11
53,11
54,11
55,11
56,11
57,11
58,11
59,11
60,11
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,9
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,9
90,9
91,14
92,14
93,14
94,14
95,14
96,14
97,14
98,14
99,14
100,14
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,13
122,13
123,13
124,13
125,13
126,13
127,13
128,13
129,13
130,13
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,8
150,8
