1,5
2,4
3,7
4,5
5,2
6,2
7,12
8,3
9,10
10,5
11,9
12,10
13,1
14,8
15,5
16,4
17,11
18,1
19,4
20,4
21,6
22,5
23,8
24,6
25,8
26,6
27,8
28,2
29,11
30,4
31,7
32,6
33,6
34,11
35,1
36,2
37,10
38,7
39,8
40,8
41,1
42,8
43,3
44,1
45,10
46,6
47,12
48,2
49,9
50,4
51,2
52,6
53,7
54,3
55,11
56,7
57,2
58,6
59,5
60,6
61,3
62,11
63,11
64,9
65,3
66,1
67,8
68,4
69,7
70,7
71,5
72,1
73,7
74,12
75,3
76,3
77,8
78,9
79,3
80,11
81,9
82,8
83,3
84,5
85,10
86,5
87,8
88,1
89,2
90,4
91,3
92,8
93,1
94,12
95,10
96,9
97,11
98,1
99,10
100,6
101,7
102,2
103,4
104,12
105,6
106,2
107,2
108,10
109,5
110,2
111,2
112,2
113,6
114,11
115,3
